Complaint Name,External ID,IFI Support,Sector,Issues,"If No Eligibility, Why?"
Andhra Pradesh & Telangana Road Sector Project,105,No IFI involvement,Infrastructure,"Displacement (physical and/or economic), Human rights, Indigenous peoples, Livelihoods",
Angel Infin-01/ Gujarat,no_id_21_91,,Other,Other,Unknown
Anima Educacao,no_id_21_54,,Other,Other,Outside of mandate
"Anvil Mining Congo, SARL-01/World Bank President Request",94,Risk Guarantee,"Extractives (oil, gas, mining)","Due diligence, Human rights, Other retaliation (actual or feared), Violence against the community (by gov't and/or company)",
Arun III Proposed Hydroelectric Project and Restructuring of IDA Credit,1,Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Human rights, Indigenous peoples, Other",
Assam Integrated Flood and Riverbank Erosion and Risk Management Programme,no_id_25_40,Project/investment lending,"Conservation and environmental protection, Infrastructure",Other,Inadequate information
Assam Power Sector Development Project,6-May,Project/investment lending,"Energy, Infrastructure",Procurement,Outside of mandate
Assan Aluminyum-01/Dilovasi,81,Project/investment lending,Manufacturing,"Labor, Other retaliation (actual or feared)",
Asturias Waste Management,SG/E/2010/12,No IFI involvement,Infrastructure,"Other, Other environmental",
Atul Ltd.-01/Gujarat,97,"Equity Investment, Project/investment lending","Chemicals, Manufacturing","Consultation and disclosure, Pollution",
Autoroute Sfax-Gabes,SG/E/2012/01,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Due diligence","Outside of mandate, Outside of mandate, Issues previously raised"
Avianca-01/Colombia,182,Project/investment lending,Other,"Due diligence, Labor, Other retaliation (actual or feared)",
Axzon-01/Halych and Kalush,218,"Equity Investment, Project/investment lending",Agribusiness,"Biodiversity, Consultation and disclosure, Due diligence, Human rights, Other community health and safety issues, Pollution, Water",
AzerPost,no_id_21_84,,Other,Other,Unknown
Azure-01,no_id_21_78,,Other,Other,Unknown
BCR,no_id_21_9,,Other,Other,Outside of mandate
BTA Toll Road,SG/E/2011/04/INA,,Infrastructure,Displacement (physical and/or economic),Unknown
BTC Georgia / Akhali Samgori,2006/01,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Livelihoods, Property damage",
BTC Georgia / Atskuri,2007/02,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Livelihoods, Other, Property damage",
BTC Pipeline,2005/02,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Due diligence, Other community health and safety issues, Property damage",
BTC Pipeline-01/ Switzerland,no_id_21_3,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Biodiversity, Consultation and disclosure, Livelihoods, Other environmental, Water",Filer Issue
BTC Pipeline-02/Rustavi,48,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Consultation and disclosure, Other community health and safety issues, Property damage",
BTC Pipeline-03/Switzerland,no_id_21_4,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Biodiversity, Other environmental, Water",Filer Issue
BTC Pipeline-04/Switzerland,no_id_21_5,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Biodiversity, Other environmental, Water",Filer Issue
BTC Pipeline-05/Rustavi City,no_id_21_6,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure",Displacement (physical and/or economic),Issues previously raised
BTC Pipeline-06/Bashkovi,49,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Displacement (physical and/or economic), Livelihoods",
BTC Pipeline-07/Dgvari,50,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Consultation and disclosure, Due diligence, Other community health and safety issues, Property damage",
BTC Pipeline-08/Sagrasheni,51,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Other community health and safety issues, Pollution, Property damage, Water",
BTC Pipeline-09/Tetritskaro,52,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Pollution, Property damage, Water",
BTC Pipeline-10/Tetritskaro,53,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Consultation and disclosure, Property damage",
BTC Pipeline-11/Tsikhisjvari,54,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Livelihoods, Property damage",
"BTC Pipeline-12/Tba, Tsemi, Sadgeri",55,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Consultation and disclosure, Displacement (physical and/or economic), Livelihoods, Other community health and safety issues, Pollution, Water",
BTC Pipeline-13/Tsalka,56,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Other, Pollution, Property damage, Water",
BTC Pipeline-14/Vale,57,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Displacement (physical and/or economic), Property damage",
BTC Pipeline-15/Tetritsakro,58,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Other community health and safety issues, Pollution, Property damage",
BTC Pipeline-16/Tetritsakro,59,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Consultation and disclosure, Property damage",
BTC Pipeline-17/Tadzrisi,60,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Pollution, Property damage",
BTC Pipeline-18/Tetritsakro,61,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Other, Pollution, Property damage",
BTC Pipeline-19/Atskuri Temple,62,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Cultural heritage, Property damage",
BTC Pipeline-20/Atskuri,63,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure",Property damage,
BTC Pipeline-21/Posof,64,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Consultation and disclosure, Displacement (physical and/or economic)",
BTC Pipeline-22/Tsemi,65,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Livelihoods, Pollution, Water",
BTC Pipeline-23/Tsemi,66,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure",Property damage,
BTC Pipeline-24/Vale,no_id_21_11,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure",Displacement (physical and/or economic),Addressed outside process
BTC Pipeline-25/Vale,no_id_21_12,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure",Displacement (physical and/or economic),Addressed outside process
BTC Pipeline-26/Krstanisi,67,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Consultation and disclosure, Displacement (physical and/or economic), Other community health and safety issues, Pollution, Property damage, Water",
BTC Pipeline-27/Tbilisi,68,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure",Displacement (physical and/or economic),
BTC Pipeline-28/Adana & Ceyhan,69,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Livelihoods, Other environmental",
BTC Pipeline-29/Tsalka,70,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure",Displacement (physical and/or economic),
BTC Pipeline-30/Vale,71,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Displacement (physical and/or economic), Livelihoods",
BTC Pipeline-31/Naokhrebi,72,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Consultation and disclosure, Displacement (physical and/or economic)",
BTC Pipeline-32/Vale,73,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Displacement (physical and/or economic), Livelihoods",
BTC Pipeline-33/Vale,173,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Livelihoods, Property damage",
Baku - Tbilisi - Ceyhan Pipeline,baku-tbilisi-ceyhan-pipeline,Risk Guarantee,"Extractives (oil, gas, mining), Infrastructure","Due diligence, Pollution, Water",
Bank Alfalah-01/Saddar Karachi,236,Equity Investment,"Agribusiness, Other",Labor,
Bankers Petroleum-01/Patos,197,"Equity Investment, Project/investment lending","Extractives (oil, gas, mining)","Due diligence, Other community health and safety issues, Pollution, Property damage, Water",
Barrio Improvement- Program II Promeba II,MICI-AR-2013-055,,Other,Other,Unknown
Barro Blanco / 14-0002,14-0002,Project/investment lending,Energy,"Biodiversity, Consultation and disclosure, Cultural heritage, Displacement (physical and/or economic), Due diligence, Human rights, Indigenous peoples, Water",
Barro Blanco Hydroelectric,SG/E/2009/11,Project/investment lending,Energy,"Human rights, Other environmental",
Bayport Colombia: Financial Inclusion for BOP Public Employees,MICI-CO-2015-0091,Project/investment lending,"Community capacity and development, Other","Consultation and disclosure, Other","Good faith requirement not met, Outside of mandate"
Belgrade By-Pass,SG/E/2011/11,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Other retaliation (actual or feared)",
Belgrade By-Pass - Highway Interchange Petlovo Brdo,SG/E/2014/04,Project/investment lending,Infrastructure,Livelihoods,
Belgrade Urban Renewal,SG/E/2010/03,Project/investment lending,Infrastructure,"Cultural heritage, Due diligence, Other environmental",
Belgrade Urban Renewal 2,SG/E/2010/04,Project/investment lending,Infrastructure,"Cultural heritage, Due diligence, Other environmental",
Belstar-01,no_id_21_76,,Other,Other,Unknown
Belstar-02,no_id_21_88,,Other,Other,Unknown
Bidding of EDMS systems,MICI-TT-2013-072,,Other,Other,Unknown
Bilt Paper B.V-01/Sipitang,229,"Equity Investment, Project/investment lending",Manufacturing,"Biodiversity, Displacement (physical and/or economic), Livelihoods, Other environmental, Water",
Bilt Paper-02/Sipitang,238,"Equity Investment, Project/investment lending",Manufacturing,"Human rights, Labor",
Blumenau Urban Sustainable Mobility Program,MICI-BR-2013-068,Project/investment lending,Infrastructure,"Consultation and disclosure, Cultural heritage, Due diligence, Other community health and safety issues","Outside of mandate, Not desired by complainant"
"Blumenau Urban Sustainable Mobility Program, on behalf of 800 residents of the neighborhood of Ponta Aguda in Blumenau",MICI-BR-2014-078,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence, Pollution","Mechanism deemed involvement unnecessary, Not desired by complainant, Outside of mandate"
Blumenau's Sustainable Urban Mobility Program,MICI-BR-2015-0093,Project/investment lending,Infrastructure,"Cultural heritage, Other community health and safety issues, Other environmental","Outside of mandate, Issues previously raised"
Bogota Urban Services Project,52,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Livelihoods, Other environmental, Other retaliation (actual or feared)",
Bolivia Coeur d'Alene Mines,bolivia-coeur-d-alene-mines,Risk Guarantee,"Extractives (oil, gas, mining)","Due diligence, Indigenous peoples, Livelihoods",
Boskov Most Hydro Power,2011/05,Project/investment lending,Energy,"Biodiversity, Due diligence",
Boulevard Turistico del Atlantico,MICI-DR-2011-032,,Other,Other,Unknown
Brenner Base Tunnel,SG/E/2010/13,,Other,Due diligence,
Buchanan Renewables Biomass,buchanan-renewables,Project/investment lending,"Agribusiness, Energy","Due diligence, Gender-based violence, Human rights, Labor, Livelihoods, Other community health and safety issues, Other environmental, Other retaliation (actual or feared), Pollution, Water",
Bucharest Metro Line 5,SG/E/2011/06,Project/investment lending,Infrastructure,"Cultural heritage, Displacement (physical and/or economic)",
Bujagali Energy-04/Bujagali,164,"Project/investment lending, Risk Guarantee","Energy, Infrastructure","Consultation and disclosure, Labor, Other retaliation (actual or feared)",
Bujagali Energy-05/Bujagali,172,"Project/investment lending, Risk Guarantee","Energy, Infrastructure","Displacement (physical and/or economic), Livelihoods, Other community health and safety issues, Property damage",
Bujagali Energy-06/Bujagali,199,"Project/investment lending, Risk Guarantee","Energy, Infrastructure",Labor,
Bujagali Energy-07/Bujagali,230,"Project/investment lending, Risk Guarantee",Energy,Other,
Bujagali Hydroelectric,SG/E/2009/09,Project/investment lending,"Energy, Infrastructure","Cultural heritage, Displacement (physical and/or economic), Due diligence, Other community health and safety issues, Other environmental",
Bujagali Hydropower Project and Bujagali Interconnection Project,RQ 2007/1,Project/investment lending,"Energy, Infrastructure","Biodiversity, Consultation and disclosure, Cultural heritage, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Other community health and safety issues, Water",
Bujagali-01/ Bujagali Falls,no_id_21_1,Project/investment lending,"Energy, Infrastructure",Other,Inadequate information
Bujagali-02/Bujagali Falls,114,"Project/investment lending, Risk Guarantee","Energy, Infrastructure","Consultation and disclosure, Corruption/fraud, Cultural heritage, Displacement (physical and/or economic), Due diligence, Other",
Bujagali-03/Canada,115,"Project/investment lending, Risk Guarantee","Energy, Infrastructure","Cultural heritage, Indigenous peoples",
Bujagali-hydroelectric,SG/A/2009/02,Project/investment lending,"Energy, Infrastructure",Consultation and disclosure,
Bulyanhulu Project-01,113,Risk Guarantee,"Extractives (oil, gas, mining)","Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Human rights, Other community health and safety issues",
Burapha,no_id_21_61,,Other,Other,Unknown
CAMIF-01/ Intibuca,208,Project/investment lending,Infrastructure,"Consultation and disclosure, Cultural heritage, Human rights, Indigenous peoples, Livelihoods, Violence against the community (by gov't and/or company), Water",Unknown
CAREC Corridor 1 (Bishkek-Torugart Road) Project 3,5,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence, Other community health and safety issues",Addressed outside process
CAREC Transport Corridor 1 (Bishkek-Torugart Road) Project 1,2011/2,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Livelihoods",
CAREC Transport Corridor I Investment Program,9-Dec,Project/investment lending,Infrastructure,"Consultation and disclosure, Livelihoods",
CAREC Transport Corridor I Investment Program 2,10-Jan,Project/investment lending,Infrastructure,Other,Good faith requirement not met
CAREC Transport Corridor I Investment Program 3,11-Jul,Project/investment lending,Infrastructure,"Livelihoods, Water",Good faith requirement not met
CIFI-01/Santa Cruz,241,"Financial intermediary, Project/investment lending","Energy, Infrastructure","Consultation and disclosure, Cultural heritage, Displacement (physical and/or economic), Indigenous peoples, Livelihoods, Other community health and safety issues, Violence against the community (by gov't and/or company), Water",
Cadastral and Property Registry Regularization Program,MICI-CR-2011-029,,Other,Other,Unknown
Cairo Metro Line 3 (Phase 3),SG/E/2012/12,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence, Other community health and safety issues",
Cairo Metro Line 3 (Phase 3) 2,SG/E/2015/01,Project/investment lending,Infrastructure,Due diligence,
Cambodia Airport II-01/Preah Sihanouk,155,Project/investment lending,Infrastructure,"Biodiversity, Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Livelihoods, Other environmental, Pollution",
Cambodia Airports-01/Phnom Penh,205,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Due diligence",
Capacity Development of National Capital Region Planning Board (NCRPB),no_id_25_15,Advisory services,"Infrastructure, Regulatory Development",Other,Forwarded to other body within bank
CariSal,MICI-TT-2012-039,,Other,Other,Unknown
"Cartagena Water Supply, Sewerage and Environmental Management Project",31,Project/investment lending,"Conservation and environmental protection, Infrastructure","Biodiversity, Consultation and disclosure, Due diligence, Indigenous peoples, Livelihoods, Other community health and safety issues, Pollution, Water",
Castor Underground Gas Storage,SG/E/2013/12,Project/investment lending,"Energy, Infrastructure","Due diligence, Other, Other community health and safety issues",
Celulosas de M'Bopicua (CMB) & Orion-01/Argentina & Uruguay,117,Project/investment lending,Manufacturing,"Consultation and disclosure, Due diligence, Livelihoods, Other community health and safety issues, Pollution",
Cencosud,no_id_21_22,,Other,Other,Outside of mandate
Central Asia South Asia Electricity Transmission and Trade Project (CASA-1000),93,Project/investment lending,"Energy, Infrastructure","Biodiversity, Livelihoods, Other community health and safety issues, Water",Filer Issue
Central Mekong Delta Region Connectivity Project,no_id_25_27,Project/investment lending,Infrastructure,Procurement,"Outside of mandate, Forwarded to other body within bank, Outside of mandate"
Chad-Cameroon Pipeline-01,no_id_21_42,,Other,Other,Outside of mandate
Chad-Cameroon Pipeline-02/Cameroon,168,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Displacement (physical and/or economic), Indigenous peoples, Labor, Livelihoods, Other community health and safety issues, Pollution",
Chad-Cameroon Pipeline-03/Chad,179,Project/investment lending,"Extractives (oil, gas, mining), Infrastructure","Displacement (physical and/or economic), Due diligence, Livelihoods, Pollution, Water",
Chasma Right Bank Irrigation Project-Stage III,6-Jan,Project/investment lending,"Agribusiness, Infrastructure","Livelihoods, Other, Water","Good faith requirement not met, Other"
Chemplast-01/ Cuddalore District,96,"Equity Investment, Project/investment lending",Chemicals,"Consultation and disclosure, Due diligence, Other environmental, Water",
Coal Sector Mitigation Project and Coal Sector Rehabitation Project,23,Project/investment lending,"Extractives (oil, gas, mining)","Consultation and disclosure, Displacement (physical and/or economic), Livelihoods, Pollution, Water",
Coca-Cola Sabco,no_id_21_49,,Other,Other,Outside of mandate
Community Empowerment for Rural Development Project,5-Jan,Project/investment lending,"Community capacity and development, Infrastructure","Consultation and disclosure, Livelihoods, Other",
Compania Minera Antamina S.A.-01/ Huarmey,107,Risk Guarantee,"Extractives (oil, gas, mining)","Consultation and disclosure, Displacement (physical and/or economic), Due diligence",
Compania Minera Antamina S.A.-02/Huarmey,108,Risk Guarantee,"Extractives (oil, gas, mining)","Biodiversity, Consultation and disclosure, Livelihoods, Pollution, Water",
Compania Minera Antamina S.A.-03/Huarmey,109,Risk Guarantee,"Extractives (oil, gas, mining)","Pollution, Water",
Compensation for Expropriation and Extension of IDA Credits to Ethiopia (not registered),2,Other,Other,Other,Outside of mandate
Comsur V-01/Bosque Chiquitano,125,Equity Investment,"Extractives (oil, gas, mining)","Biodiversity, Consultation and disclosure, Due diligence, Indigenous peoples",
Concurso BID-IDEAS,MICI-XX-2013-064,,Other,Other,Unknown
Construction of the Marrakech - Agadir Motorway,RQ 2010/1,Project/investment lending,Infrastructure,"Livelihoods, Other community health and safety issues, Property damage, Water",
Construction/Improvement 0f 5.34 Km. Visares-Barugo Farmto-Market Road,no_id_25_2,Project/investment lending,Infrastructure,Other,Outside of mandate
CoreCo-01/,no_id_21_95,,Other,Other,Unknown
Corridor 10 Highway E-75,SG/E/2011/08,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence, Other",
Crompton,no_id_21_41,No IFI involvement,Other,Other,Outside of mandate
D1 motorway Phase I,2010/01,Project/investment lending,Infrastructure,"Biodiversity, Due diligence",
DG Khan-01/ Kahoon,no_id_21_17,,Manufacturing,Due diligence,Issues previously raised
DIF Lydian (Amulsar Gold Mine),2014/02,Equity Investment,"Extractives (oil, gas, mining)","Biodiversity, Consultation and disclosure, Cultural heritage, Due diligence, Livelihoods, Water",Unknown
DIF Lydian (Amulsar Gold Mine) 2,2014/03,,"Extractives (oil, gas, mining)","Consultation and disclosure, Due diligence, Other community health and safety issues, Pollution, Water",Unknown
DISI - Amman Water Conveyor,SG/E/2010/14,,Other,Other,
DTS Expressway,SG/E/2012/10,Project/investment lending,Infrastructure,"Due diligence, Other community health and safety issues",
DTS Expressway II,SG/E/2010/01,Project/investment lending,Infrastructure,"Consultation and disclosure, Cultural heritage, Due diligence, Other community health and safety issues",
DTT,no_id_21_44,,Other,Other,Unknown
Dakar-Diamniadio Highway Project,RQ 2011/1,Project/investment lending,Infrastructure,"Displacement (physical and/or economic), Other",
Dariali HPP,2014/05,Project/investment lending,"Energy, Infrastructure","Biodiversity, Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Other, Other community health and safety issues, Water",
Decentralized Rural Infrastructure and Livelihood Project,11,Project/investment lending,"Community capacity and development, Infrastructure","Consultation and disclosure, Displacement (physical and/or economic)",
Delhi Mass Rapid Transport System Project,no_id_31_2,Project/investment lending,Infrastructure,Other,Unknown
DeltaCredit Bank,no_id_21_16,,Other,Other,Outside of mandate
Development Forestry Sector Management Project,69,Other,"Forestry, Regulatory Development","Biodiversity, Consultation and disclosure, Due diligence, Human rights, Other environmental",
Development Programme's Norte Grande provinces: W&S Infrastructure,MICI-AR-2013-061,,Other,Other,Unknown
Development of the Industry of Products of the Vegetable Sponge,PR-MICI001-2010,Project/investment lending,Manufacturing,Other,
Digicel,no_id_21_33,,Other,Other,Outside of mandate
Dinant-01/CAO Vice President Request,188,Project/investment lending,"Agribusiness, Manufacturing","Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Violence against the community (by gov't and/or company)",
Dinant-02/Aguan Valley,224,Project/investment lending,"Agribusiness, Manufacturing","Displacement (physical and/or economic), Other environmental, Violence against the community (by gov't and/or company)",
Dinant-03/Aguan Valley,223,Project/investment lending,"Agribusiness, Manufacturing","Displacement (physical and/or economic), Other environmental, Violence against the community (by gov't and/or company)",
"Diversification of the Activities of ""Moulins Modernes du Mali (M3)"" Project in Mali",RQ2016/1,,Agribusiness,"Displacement (physical and/or economic), Other retaliation (actual or feared)",
"Drainage, roads, water supply and sewerage in the low areas of Belem",MICI-BR-2013-076,Project/investment lending,Infrastructure,Other community health and safety issues,Good faith requirement not met
Dynagreen Waste to Energy Project,no_id_25_23,"Equity Investment, Project/investment lending","Conservation and environmental protection, Energy",Other,Unknown
ELENA/Environmental Impact,SG/E/2015/05/PR,Project/investment lending,Energy,Other community health and safety issues,
EMS Electricity Network Upgrading,SG/E/2014/09,Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Corruption/fraud, Due diligence, Other community health and safety issues, Violence against the community (by gov't and/or company)",
"EPS Emergency Power Sector Reconstruction Loan, EPS Power II and EPS Kolubara Environmental Improvement",2013/03,Project/investment lending,"Energy, Extractives (oil, gas, mining)","Displacement (physical and/or economic), Due diligence, Pollution",
EPS Kolubara Environmental Improvement,2012/04,Project/investment lending,"Extractives (oil, gas, mining)","Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Pollution, Water",
EPS Power II,2013/02,Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Displacement (physical and/or economic)",
EPS Restructuring,2016/01,,Energy,Consultation and disclosure,
Earthquake Emergency Assistance Project,no_id_25_12,Project/investment lending,Infrastructure,Other,"Outside of mandate, Forwarded to other body within bank"
Earthquake Emergency Assistance Project 2,no_id_25_39,"Advisory services, Project/investment lending","Education, Infrastructure",Other,"Forwarded to other body within bank, Forwarded to other body within bank"
East-West Highway Improvement Project,9-Sep,Project/investment lending,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic)","Good faith requirement not met, Filer Issue"
Eastern Poland Roads Ten-T,SG/E/2012/06,Project/investment lending,Infrastructure,"Due diligence, Pollution",
Eco Oro-01/Bucaramanga,187,Project/investment lending,"Extractives (oil, gas, mining)","Biodiversity, Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Livelihoods, Other environmental, Water",
Ecocimento Fibre Cement,SG/E/2010/08,Project/investment lending,Manufacturing,"Due diligence, Other community health and safety issues, Other environmental, Pollution",
Ecodevelopment Project,11,Project/investment lending,Conservation and environmental protection,"Displacement (physical and/or economic), Due diligence, Indigenous peoples",
Education Improvement Project,94,Project/investment lending,Education,"Consultation and disclosure, Due diligence, Other",
Education Sector Reform Project,10-Feb,Project/investment lending,"Education, Infrastructure",Other,
Edy Group-01/ Romania,no_id_21_71,,Other,Other,Unknown
Eirgrid East-West Interconnector TEN-E,SG/A/2010/02,Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Other environmental",
El Dorado International Airport,CO-MICI002-2011,Project/investment lending,Infrastructure,"Consultation and disclosure, Due diligence, Other community health and safety issues, Other environmental, Pollution, Water",
El Dorado International Airport - IFC FI investment,,"Equity Investment, Financial intermediary",Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Pollution, Property damage",
Electric Interconnection System for the Central American Countries (SIEPAC),CR-MICI001-2010,Project/investment lending,"Energy, Infrastructure","Biodiversity, Due diligence, Livelihoods, Water",
Electricity Expansion Project,97,Project/investment lending,"Energy, Infrastructure","Cultural heritage, Displacement (physical and/or economic), Livelihoods, Other community health and safety issues, Other retaliation (actual or feared)",
Electricity Network Upgrading,SG/E/2013/11,Project/investment lending,"Energy, Infrastructure","Other community health and safety issues, Other environmental",
