COMPLAINT_STATUS,COMPLIANCE_REVIEW_END_DATE,COMPLIANCE_REVIEW_START_DATE,COUNTRY,DATE_CLOSED,DISPUTE_RESOLUTION_END_DATE,DISPUTE_RESOLUTION_START_DATE,DOCUMENTS,ELIGIBILITY_END_DATE,ELIGIBILITY_START_DATE,ENVIRONMENTAL_CATEGORY,FILERS,FILING_DATE,HYPERLINK,IAM,IAM_ID,ISSUES,IS_COMPLIANCE_REPORT_ISSUED,MONITORING_END_DATE,MONITORING_START_DATE,PROJECT_ID,PROJECT_LOAN_AMOUNT,PROJECT_NAME,PROJECT_NUMBER,PROJECT_TYPE,REGISTRATION_END_DATE,REGISTRATION_START_DATE,RELATED_PROJECT_NUMBER,SECTOR,YEAR
Closed,,,"Georgia, Turkey and Azerbaijan",,Completed,,"http://www.cao-ombudsman.org/cases/document-links/documents/Complaint_Englishtranslation.pdf, http://www.cao-ombudsman.org/cases/document-links/#, http://www.cao-ombudsman.org/cases/document-links/documents/Complaint_Georgian.pdf, http://www.cao-ombudsman.org/cases/document-links/#, http://www.cao-ombudsman.org/cases/document-links/documents/BTCVale4AssessmentReport_ENGLISH.pdf, http://www.cao-ombudsman.org/cases/document-links/#, http://www.cao-ombudsman.org/cases/document-links/documents/BTCVale4AssessmentReport_GEORGIAN.pdf, http://www.cao-ombudsman.org/cases/document-links/#, http://www.cao-ombudsman.org/cases/document-links/#",,,A,,"August 20, 2007",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=71,CAO,21,,,,,71,$125 million (A loan) $125 million (B loan),Baku Tbilisi-Ceyhan Pipeline,11251,"Oil, Gas, Mining, & Chemicals",,"August 20, 2007",,"Oil, Gas and Mining",2007
Closed,,,"Georgia, Turkey and Azerbaijan",,Completed,,"http://www.cao-ombudsman.org/cases/document-links/documents/ComplaintlettertoCAO.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/ComplaintLettertoCAO_Georgian.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/BTCVale5AssessmentReport_ENGLISH.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/BTCVale5AssessmentReport_GEORGIAN.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CurrentBTCComplaintTracker_updatedOct09_000.pdf, http://www.cao-ombudsman.org/cases/document-links/#",,,A,,"August 01, 2008",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=73,CAO,21,,,,,73,$125 million (A loan) $125 million (B loan),Baku Tbilisi-Ceyhan Pipeline,11251,"Oil, Gas, Mining, & Chemicals",,"August 01, 2008",,"Oil, Gas and Mining",2008
Closed,,,"Azerbaijan, Georgia, Turkey",,,Completed,"http://www.cao-ombudsman.org/cases/document-links/documents/TANAP01ComplaintEnglishpublicversion.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/TANAP01ComplaintGeorgianpublicversion.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/AssessmentReportTANAPProjectinGeorgia-Jan.2018_ENG.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/AssessmentReportTANAPProjectinGeorgia-Jan.2018_ENG.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/AssessmentReportTANAPProjectinGerogia-Jan.2018_GEO.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/TANAP01ComplaintGeorgianpublicversion.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/MIGAResponsetoCAOTanapDec11.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/MIGAResponsetoCAOTanapDec11.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAO-Compliance-Appraisal_TANAP-SCPX_Georgia_Mar-13.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/AssessmentReportTANAPProjectinGeorgia-Jan.2018_ENG.pdf",,,A,,"March 29, 2017",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=1262,CAO,21,"Working conditions, health and safety conditions",,,,1262,$950 million,Trans-Anatolian Pipeline,13661,Infrastructure,,"March 29, 2017",,"Oil, Gas and Mining",2017
Closed,,,"Georgia, Turkey and Azerbaijan",,,Completed,"http://www.cao-ombudsman.org/cases/document-links/documents/RustaviFinalRevisedAssessmentReport08-12-04.pdf, http://www.cao-ombudsman.org/cases/document-links/#, http://www.cao-ombudsman.org/cases/document-links/documents/RustaviFinalRevisedAssessmentReport08-12-04_Georgian.pdf",,,A,,"March 15, 2004",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=48,CAO,21,,,,,48,$125 million (A loan) $125 million (B loan),Baku Tbilisi-Ceyhan Pipeline,11251,"Oil, Gas, Mining, & Chemicals",,"March 15, 2004",,"Oil, Gas and Mining",2004
Closed,,,"Georgia, Turkey and Azerbaijan",,,Completed,"http://www.cao-ombudsman.org/cases/document-links/#, http://www.cao-ombudsman.org/cases/document-links/documents/BTC-FinalAssessmentReport_SevenComplaints_English.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/AssessmentSevenComplaintsBTC_GeorgianTranslation.pdf, http://www.cao-ombudsman.org/cases/document-links/#",,,A,,"May 21, 2004",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=49,CAO,21,,,,,49,$125 million (A loan) $125 million (B loan),Baku Tbilisi-Ceyhan Pipeline,11251,"Oil, Gas, Mining, & Chemicals",,"May 21, 2004",,"Oil, Gas and Mining",2004
Closed,,,"Georgia, Turkey and Azerbaijan",,,Completed,"http://www.cao-ombudsman.org/cases/document-links/documents/Complaint_BiobioChile_Nov11_09_WEB.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/BTC-FinalAssessmentReport_SevenComplaints_English_000.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/AssessmentSevenComplaintsBTC_GeorgianTranslation_000.pdf, http://www.cao-ombudsman.org/cases/document-links/#",,,A,,"May 21, 2004",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=50,CAO,21,,,,,50,$125 million (A loan) $125 million (B loan),Baku Tbilisi-Ceyhan Pipeline,11251,"Oil, Gas, Mining, & Chemicals",,"May 21, 2004",,"Oil, Gas and Mining",2004
Closed,,,"Georgia, Turkey and Azerbaijan",,,Completed,"http://www.cao-ombudsman.org/cases/document-links/#, http://www.cao-ombudsman.org/cases/document-links/documents/BTC-FinalAssessmentReport_SevenComplaints_English_001.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/AssessmentSevenComplaintsBTC_GeorgianTranslation_001.pdf",,,A,,"May 21, 2004",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=51,CAO,21,,,,,51,$125 million (A loan) $125 million (B loan),Baku Tbilisi-Ceyhan Pipeline,11251,"Oil, Gas, Mining, & Chemicals",,"May 21, 2004",,"Oil, Gas and Mining",2004
Closed,,,"Georgia, Turkey and Azerbaijan",,,,"http://www.cao-ombudsman.org/cases/document-links/#, http://www.cao-ombudsman.org/cases/document-links/documents/BTC-FinalAssessmentReport_SevenComplaints_English_001.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/AssessmentSevenComplaintsBTC_GeorgianTranslation_001.pdf",Completed,,A,,"May 29, 2004",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=52,CAO,21,,,,,52,$125 million (A loan) $125 million (B loan),Baku Tbilisi-Ceyhan Pipeline,11251,"Oil, Gas, Mining, & Chemicals",,"May 29, 2004",,"Oil, Gas and Mining",2004
Closed,,,"Georgia, Turkey and Azerbaijan",,,Completed,"http://www.cao-ombudsman.org/cases/document-links/#, http://www.cao-ombudsman.org/cases/document-links/documents/BTC-FinalAssessmentReport_SevenComplaints_English_001.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/AssessmentSevenComplaintsBTC_GeorgianTranslation_001.pdf, http://www.cao-ombudsman.org/cases/document-links/#",,,A,,"May 21, 2004",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=53,CAO,21,,,,,53,$125 million (A loan) $125 million (B loan),Baku Tbilisi-Ceyhan Pipeline,11251,"Oil, Gas, Mining, & Chemicals",,"May 21, 2004",,"Oil, Gas and Mining",2004
Closed,,,"Georgia, Turkey and Azerbaijan",,,Completed,"http://www.cao-ombudsman.org/cases/document-links/#, http://www.cao-ombudsman.org/cases/document-links/documents/BTC-FinalAssessmentReport_SevenComplaints_English_001.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/AssessmentSevenComplaintsBTC_GeorgianTranslation_001.pdf",,,A,,"May 21, 2004",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=54,CAO,21,,,,,54,$125 million (A loan) $125 million (B loan),Baku Tbilisi-Ceyhan Pipeline,11251,"Oil, Gas, Mining, & Chemicals",,"May 21, 2004",,"Oil, Gas and Mining",2004
Closed,,,"Georgia, Turkey and Azerbaijan",,Completed,,"http://www.cao-ombudsman.org/cases/document-links/documents/AssessmentReport_English_BTCSadgeriTbaandTsemi.pdf, http://www.cao-ombudsman.org/cases/document-links/#, http://www.cao-ombudsman.org/cases/document-links/documents/AssessmentReport_GeorgianTranslation_BTCSadgeriTbaandTsemi.pdf, http://www.cao-ombudsman.org/cases/document-links/#, http://www.cao-ombudsman.org/cases/document-links/#",,,A,,"May 28, 2004",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=55,CAO,21,,,,,55,$125 million (A loan) $125 million (B loan),Baku Tbilisi-Ceyhan Pipeline,11251,"Oil, Gas, Mining, & Chemicals",,"May 28, 2004",,"Oil, Gas and Mining",2004
Closed,,,"Georgia, Turkey and Azerbaijan",,Completed,,"http://www.cao-ombudsman.org/cases/document-links/#, http://www.cao-ombudsman.org/cases/document-links/documents/Tsalka_AssessmentReportFinal_Nov2004.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/TsalkaAssessmentReportGeorgianTranslation.pdf, http://www.cao-ombudsman.org/cases/document-links/#",,,A,,"July 22, 2004",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=56,CAO,21,,,,,56,$125 million (A loan) $125 million (B loan),Baku Tbilisi-Ceyhan Pipeline,11251,"Oil, Gas, Mining, & Chemicals",,"July 22, 2004",,"Oil, Gas and Mining",2004
Closed,,,"Georgia, Turkey and Azerbaijan",,Completed,,,,,A,,"August 08, 2004",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=57,CAO,21,,,,,57,$125 million (A loan) $125 million (B loan),Baku Tbilisi-Ceyhan Pipeline,11251,"Oil, Gas, Mining, & Chemicals",,"August 08, 2004",,"Oil, Gas and Mining",2004
Closed,,,"Georgia, Turkey and Azerbaijan",,,Completed,,,,A,,"December 01, 2004",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=58,CAO,21,,,,,58,$125 million (A loan) $125 million (B loan),Baku Tbilisi-Ceyhan Pipeline,11251,"Oil, Gas, Mining, & Chemicals",,"December 01, 2004",,"Oil, Gas and Mining",2004
Closed,,,"Georgia, Turkey and Azerbaijan",,,,,Completed,,A,,"December 01, 2004",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=59,CAO,21,,,,,59,$125 million (A loan) $125 million (B loan),Baku Tbilisi-Ceyhan Pipeline,11251,"Oil, Gas, Mining, & Chemicals",,"December 01, 2004",,"Oil, Gas and Mining",2004
Closed,,,"Georgia, Turkey and Azerbaijan",,Completed,,,,,A,,"December 10, 2004",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=60,CAO,21,,,,,60,$125 million (A loan) $125 million (B loan),Baku Tbilisi-Ceyhan Pipeline,11251,"Oil, Gas, Mining, & Chemicals",,"December 10, 2004",,"Oil, Gas and Mining",2004
Closed,,,"Georgia, Turkey and Azerbaijan",,,,,Completed,,A,,"December 01, 2004",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=61,CAO,21,,,,,61,$125 million (A loan) $125 million (B loan),Baku Tbilisi-Ceyhan Pipeline,11251,"Oil, Gas, Mining, & Chemicals",,"December 01, 2004",,"Oil, Gas and Mining",2004
Closed,,,"Georgia, Turkey and Azerbaijan",,,,,Completed,,A,,"May 03, 2005",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=62,CAO,21,,,,,62,$125 million (A loan) $125 million (B loan),Baku Tbilisi-Ceyhan Pipeline,11251,"Oil, Gas, Mining, & Chemicals",,"May 03, 2005",,"Oil, Gas and Mining",2005
Closed,,,"Georgia, Turkey and Azerbaijan",,,,,Completed,,A,,"May 03, 2005",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=63,CAO,21,,,,,63,$125 million (A loan) $125 million (B loan),Baku Tbilisi-Ceyhan Pipeline,11251,"Oil, Gas, Mining, & Chemicals",,"May 03, 2005",,"Oil, Gas and Mining",2005
Closed,,,"Georgia, Turkey and Azerbaijan",,Completed,,"http://www.cao-ombudsman.org/cases/document-links/#, http://www.cao-ombudsman.org/cases/document-links/documents/Tsemi2AssessmentReport_FINAL.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/AssessementReportTsemi2Georgian.pdf, http://www.cao-ombudsman.org/cases/document-links/#",,,A,,"June 24, 2005",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=65,CAO,21,,,,,65,$125 million (A loan) $125 million (B loan),Baku Tbilisi-Ceyhan Pipeline,11251,"Oil, Gas, Mining, & Chemicals",,"June 24, 2005",,"Oil, Gas and Mining",2005
Closed,,,"Georgia, Turkey and Azerbaijan",,,,,Completed,,A,,"June 24, 2005",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=66,CAO,21,,,,,66,$125 million (A loan) $125 million (B loan),Baku Tbilisi-Ceyhan Pipeline,11251,"Oil, Gas, Mining, & Chemicals",,"June 24, 2005",,"Oil, Gas and Mining",2005
Closed,,,"Georgia, Turkey and Azerbaijan",,Completed,,,,,A,,"August 03, 2006",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=70,CAO,21,,,,,70,$125 million (A loan) $125 million (B loan),Baku Tbilisi-Ceyhan Pipeline,11251,"Oil, Gas, Mining, & Chemicals",,"August 03, 2006",,"Oil, Gas and Mining",2006
Closed,,,"Georgia, Turkey and Azerbaijan",,,Completed,"http://www.cao-ombudsman.org/cases/document-links/documents/Complaint_EnglishREDACTED_053011.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/Complaint_GeorgianREDACTED_053011.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/Assessment-ConclusionReportBTC33_ENG.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/Assessment-ConclusionReportBTC-33_GEO.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/IFC_ResponsetoOmbudsmanAssessment_Jan252012.pdf",,,A,,"May 30, 2011",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=173,CAO,21,Impacts to land,,,,173,$125 million (A loan) $125 million (B loan),Baku Tbilisi-Ceyhan Pipeline,11251,"Oil, Gas, Mining, & Chemicals",,"May 30, 2011",,"Oil, Gas and Mining",2011
Closed,,,"Georgia, Turkey and Azerbaijan",,,,"http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Appraisal_Report_C-I-R7-Y06_F075_ENGLISH.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Appraisal_Report_C-I-R7-Y06_F075_GEORGIAN.pdf, http://www.cao-ombudsman.org/cases/document-links/#",Completed,,A,,"December 12, 2005",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=67,CAO,21,,,,,67,$125 million (A loan) $125 million (B loan),Baku Tbilisi-Ceyhan Pipeline,11251,"Oil, Gas, Mining, & Chemicals",,"December 12, 2005",,"Oil, Gas and Mining",2005
Closed,,,"Georgia, Turkey and Azerbaijan",,,,"http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Appraisal_Report_C-I-R7-Y06_F078_ENGLISH.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Appraisal_Report_C-I-R7-Y06_F078_GEORGIAN.pdf",Completed,,A,,"June 15, 2006",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=68,CAO,21,,,,,68,$125 million (A loan) $125 million (B loan),Baku Tbilisi-Ceyhan Pipeline,11251,"Oil, Gas, Mining, & Chemicals",,"June 15, 2006",,"Oil, Gas and Mining",2006
Closed,,,"Georgia, Turkey and Azerbaijan",,,,"http://www.cao-ombudsman.org/cases/document-links/#, http://www.cao-ombudsman.org/cases/document-links/documents/NaokhrebiAssessmentRepot_April08.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Appraisal_Report_C_I_R7_Y08_F104_ENGLISH.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Appraisal_Report_C_I_R7_Y08_F104_ARMENIAN.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Appraisal_Report_C-I-R7-Y09_F105.pdf",Completed,,A,,"February 28, 2008",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=72,CAO,21,,,,,72,$125 million (A loan) $125 million (B loan),Baku Tbilisi-Ceyhan Pipeline,11251,"Oil, Gas, Mining, & Chemicals",,"February 28, 2008",,"Oil, Gas and Mining",2008
Closed,,,Kazakhstan,,,,"http://www.cao-ombudsman.org/cases/document-links/documents/KPO_Progress_Report_English_June06.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/KPO_Progress_Report_Russian_June06.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/Karachaganak_Assessment_Report04-14-05.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAOAssessmentReportKarachaganakComplaintRussianTranslation.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/IFCsResponsetoCAOAssessmentReportre-KarachaganakComplaint.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/080725RM01_AssessmentReport_ENGLISH.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAsResponsetoCAOAssessmentReportre-KarachaganakComplaint.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAsLettertoKPOre-CAOAssessmentReportRecommendationsKarachaganakComplaint.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Appraisal_Report_C_I_R7_Y06_F079_ENGLISH.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Appraisal_Report_C_I_R7_Y06_F079_RUSSIAN.pdf, http://www.cao-ombudsman.org/cases/document-links/#, http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Audit_Report_C_I_R7_Y06_F079_ENGLISH.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Audit_Report_C_I_R7_Y06_F079_RUSSIAN.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/IFCResponsetoFinalAuditReport.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/IFCResponsetoFinalAuditReportRUSSIAN.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAOTermsofReferenceforanAuditofIFCinreKPOproject.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Monitoring_of_Audit_C_I_R7_Y06_F079_ENGLISH.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Monitoring_of_Audit_CLOSURE_C_I_R7_Y06_F079_ENGLISH.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Monitoring_of_Audit_CLOSURE_C_I_R7_Y06_F079_RUSSIAN.pdf",,,A,,"September 01, 2004",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=104,CAO,21,,,,,104,"$50 mill (A), $75 mill (B) & $25 mill (C) loans",Lukoil Overseas,9953,"Oil, Gas, Mining, & Chemicals",,"September 01, 2004",,"Oil, Gas and Mining",2004
Closed,,,Kazakhstan,,,,"http://www.cao-ombudsman.org/cases/document-links/#, http://www.cao-ombudsman.org/cases/document-links/documents/preliminary_assessment-english.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/preliminary_assessment_russiantranslation.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Appraisal_Report_O_I_R7_Y06_F086_ENGLISH.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Appraisal_Report_O_I_R7_Y06_F086_RUSSIAN.pdf",Completed,,A,,"April 01, 2007",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=105,CAO,21,,,,,105,"$50 mill (A), $75 mill (B) & $25 mill (C) loans",Lukoil Overseas,9953,"Oil, Gas, Mining, & Chemicals",,"April 01, 2007",,"Oil, Gas and Mining",2007
Closed,,,Kazakhstan,,,Completed,"http://www.cao-ombudsman.org/cases/document-links/documents/KPO-3FinalAssessmentReport_English.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/KPO-3FinalAssessmentReport_Russian.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Appraisal_Report_C_I_R7_Y09_F117.pdf",,,A,,"May 01, 2008",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=74,CAO,21,,,,,74,"$50 mill (A), $75 mill (B) & $25 mill (C) loans",Lukoil Overseas,9953,"Oil, Gas, Mining, & Chemicals",,"May 01, 2008",,"Oil, Gas and Mining",2008
Closed,,,Kyrgyz Republic,,,,"http://www.cao-ombudsman.org/cases/document-links/documents/KyrgyzPlato-01AssessmentReport.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/Plato_IFCMgmtResponse_AssessmentReport.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Compliance_Appraisal_Report_Plato.pdf",Completed,,B,,"April 07, 2015",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=233,CAO,21,"Unlawful termination of work, withheld compensation",,,,233,$6 million Quasi-Equity Investment ,Plato ,32583,Global Manufacturing & Services,,"April 07, 2015",,Education,2015
Closed,,,Russian Federation,,Completed,,"http://www.cao-ombudsman.org/cases/document-links/documents/091708_RusskiyMir3Complaint_Englishtranslation_WEB.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/091708_RusskiyMir3Complaint_Russian_WEB.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/RusskiyMirII-03AssessmentReport_ENG.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/RusskiyMirII-03AssessmentReport_Russian.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/RusskiyMirII-03ConclusionReport_English.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/RusskiyMirII-03ConclusionReport_Russian.pdf, http://www.cao-ombudsman.org/cases/document-links/#",,,B,,"March 01, 2009",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=88,CAO,21,,,,,88,$45 million (A Loan) & $55 million (B Loan),Russkiy Mir II,23870,Infrastructure,,"March 01, 2009",,Transportation and Warehousing,2009
Closed,,,Russian Federation,,,,"http://www.cao-ombudsman.org/cases/document-links/#, http://www.cao-ombudsman.org/cases/document-links/documents/080725RM01_AssessmentReport_ENGLISH.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/0080725RM01_AssessmentReport_RUSSIAN.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Appraisal_Report_C-I-R7-Y09_F105.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAOAppraisal_Report_C-I-R7-Y09_F105_RUSSIAN.pdf",Completed,,B,,"October 01, 2007",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=86,CAO,21,,,,,86,$45 million (A Loan) & $55 million (B Loan),Russkiy Mir II,23870,Infrastructure,,"October 01, 2007",,Transportation and Warehousing,2007
Closed,,,Russian Federation,,,Completed,"http://www.cao-ombudsman.org/cases/document-links/documents/RusskiyMirII-02AssessmentReport_ENGLISH.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Appraisal_Report_C-I-R7-Y09_F105.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/RusskiyMirII-02AssessmentReport_Russian.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Appraisal_Report_C-I-R7-Y09_F105.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAO_Appraisal_Report_C-I-R7-Y09_F105.pdf",,,B,,"February 01, 2008",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=87,CAO,21,,,,,87,$45 million (A Loan) & $55 million (B Loan),Russkiy Mir II,23870,Infrastructure,,"February 01, 2008",,Transportation and Warehousing,2008
Closed,,,Turkey,,Completed,,"http://www.cao-ombudsman.org/cases/document-links/documents/08_September22Complaint.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/StakeholderAssessment_AssanAluminyum_080309.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/08_September22Complaint.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/StakeholderAssessment-AssanAluminyum-8-03-09inTurkish.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/AssanConclusionReport-August2010.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/AssanConclusionReport-August2010_Turkishtranslation.pdf",,,B,,"October 01, 2008",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=81,CAO,21,,,,,81,$30 million (A loan) & $30 million (B Loan),Assan Aluminum ,26648,Global Manufacturing & Services,,"October 01, 2008",,Primary Metals,2008
Closed,,,Turkey,,Completed,,"http://www.cao-ombudsman.org/cases/document-links/documents/01-Complaint.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/09_February5-StakeholderAssessment.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/09_February5-StakeholderAssessmentTurkish.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAOStandardProfilCase-FinalConclusionReportJune2012ENGLISH.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAOStandardProfilCase-FinalConclusionReportJune2012TURKISH.pdf",,,B,,"September 01, 2008",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=80,CAO,21,,,,,80,25% shareholding,Standard Profil,26098,Global Manufacturing & Services,,"September 01, 2008",,Industrial & Consumer Products,2008
Closed,,,"Georgia, Turkey and Azerbaijan",,,,,Completed,,A,,"June 21, 2005",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=64,CAO,21,,,,,64,$125 million (A loan) $125 million (B loan),Baku Tbilisi-Ceyhan Pipeline,11251,"Oil, Gas, Mining, & Chemicals",,"June 21, 2005",,"Oil, Gas and Mining",2005
Closed,,,"Georgia, Turkey and Azerbaijan",,,Completed,,,,A,,"July 06, 2006",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=69,CAO,21,,,,,69,$125 million (A loan) $125 million (B loan),Baku Tbilisi-Ceyhan Pipeline,11251,"Oil, Gas, Mining, & Chemicals",,"July 06, 2006",,"Oil, Gas and Mining",2006
Open - Compliance,,Completed,Ukraine,,,,"http://www.cao-ombudsman.org/cases/document-links/documents/Danosha_complaint_2014-02-03_UKR.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/Danoshacomplaint_ENG.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAOAssessmentReport_Axzon-01_ENG.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/CAOAssessmentReport_Axzon-01_UKR.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/Axzon_IFCMgmtResponse_AssessmentReport_Aug12.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/MoUfinaldraft_ENG-redacted.pdf, http://www.cao-ombudsman.org/cases/document-links/http://www.cao-ombudsman.org/cases/document-links/documents/MoUfinalsigned-Ukrainian_Redacted.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/Conclusion_Rpt_Axzon-Ukraine_ENG.PDF, http://www.cao-ombudsman.org/cases/document-links/documents/Conclusion_Rpt_Axzon-Ukraine_UKR_000.pdf, http://www.cao-ombudsman.org/cases/document-links/documents/AxzonAppraisalReportApril132018.pdf",,,B,,"February 03, 2014",http://www.cao-ombudsman.org/cases/case_detail.aspx?id=218,CAO,21,"Land and water pollution, odor, information disclosure and consultation, violation of national laws and Performance Standards",,,,218,70.6 million Equity ,Axzon A/S,31990,Agribusiness,,"February 03, 2014",,Agribusiness,2014
