feature_name,feature_description,importance
request_additional_funds_needed,request_additional_funds_needed,6.73E-04
eligibility_independent_board,eligibility_independent_board,6.16E-04
hold_public_meetings_local_representatives,hold_public_meetings_local_representatives,5.96E-04
default_respond_language_request,default_respond_language_request,5.25E-04
conduct_problem_solving_completed_projects,conduct_problem_solving_completed_projects,5.24E-04
claim_delivered_local_country_office_level,claim_delivered_local_country_office_level,4.92E-04
upon_request_respond_language_request,upon_request_respond_language_request,4.73E-04
board_approve_hiring_panelists_experts,board_approve_hiring_panelists_experts,4.68E-04
panel_members_experts_regularly_trained_regarding_institution_mechanism,panel_members_experts_regularly_trained_regarding_institution_mechanism,4.47E-04
time_limit_contract_head_director,time_limit_contract_head_director,3.60E-04
time_frame_limit_established_cr_investigation_phase,time_frame_limit_established_cr_investigation_phase,3.20E-04
eligibility_independent_president,eligibility_independent_president,2.91E-04
institution_management_president_request_compliance_review,institution_management_president_request_compliance_review,2.75E-04
conduct_site_visit_communicate_outcomes_claimants,conduct_site_visit_communicate_outcomes_claimants,2.48E-04
policy_contain_restrictions_concerning_past_ongoing_judicial_arbitral_administrative_proceedings,policy_contain_restrictions_concerning_past_ongoing_judicial_arbitral_administrative_proceedings,2.46E-04
publish_guides_used,publish_guides_used,2.22E-04
draft_recommendations_made_available_claimant,draft_recommendations_made_available_claimant,4.91E-05
dummy:External_ID:210,External_ID is 210,1.54E-05
relevant_project_sponsor_formally_respond_claim,relevant_project_sponsor_formally_respond_claim,9.26E-06
follow_reports_required_written_consultation_management_project_sponsor,follow_reports_required_written_consultation_management_project_sponsor,8.46E-06
dummy:Bank:World Bank,Bank is World Bank,9.13E-07
